AR000087129,20200101,TMAX,360,,,S,
AR000087129,20200101,TMIN,232,,,S,
AR000087129,20200101,TAVG,300,H,,S,
AR000087155,20200101,TMAX,320,,,S,
AR000087155,20200101,TMIN,219,,,S,
AR000087155,20200101,PRCP,41,,,S,
AR000087155,20200101,TAVG,265,H,,S,
AR000087217,20200101,TMAX,383,,,S,
AR000087217,20200101,TMIN,222,,,S,
AR000087217,20200101,PRCP,41,,,S,
AR000087217,20200101,TAVG,288,H,,S,
AR000087257,20200101,TMIN,214,,,S,
AR000087257,20200101,TAVG,271,H,,S,
AR000087270,20200101,TMAX,316,,,S,
AR000087270,20200101,TMIN,218,,,S,
AR000087270,20200101,TAVG,263,H,,S,
AR000087344,20200101,TMAX,327,,,S,
AR000087344,20200101,TMIN,208,,,S,
AR000087344,20200101,TAVG,241,H,,S,
AR000087374,20200101,TMAX,301,,,S,
AR000087374,20200101,TMIN,216,,,S,
AR000087374,20200101,TAVG,253,H,,S,
AR000087418,20200101,TMAX,356,,,S,
AR000087418,20200101,TMIN,237,,,S,
AR000087418,20200101,TAVG,283,H,,S,
AR000087534,20200101,TMAX,321,,,S,
AR000087534,20200101,TMIN,160,,,S,
AR000087534,20200101,TAVG,221,H,,S,
AR000087623,20200101,TMAX,308,,,S,
AR000087623,20200101,TMIN,150,,,S,
AR000087623,20200101,PRCP,0,,,S,
AR000087623,20200101,TAVG,218,H,,S,
AR000087692,20200101,TMAX,234,,,S,
AR000087692,20200101,TAVG,174,H,,S,
AR000087715,20200101,TMIN,206,,,S,
AR000087715,20200101,TAVG,279,H,,S,
AR000087803,20200101,TMIN,85,,,S,
AR000087803,20200101,TAVG,211,H,,S,
AR000087828,20200101,TMIN,121,,,S,
AR000087828,20200101,TAVG,199,H,,S,
AR000087860,20200101,TMIN,109,,,S,
AR000087860,20200101,TAVG,169,H,,S,
AR000087925,20200101,TMIN,50,,,S,
AR000087925,20200101,TAVG,151,H,,S,
AR000870470,20200101,TMAX,320,,,S,
AR000870470,20200101,TMIN,186,,,S,
AR000870470,20200101,PRCP,279,,,S,
AR000870470,20200101,TAVG,226,H,,S,
AR000875440,20200101,TMAX,304,,,S,
AR000875440,20200101,TMIN,181,,,S,
AR000875440,20200101,TAVG,242,H,,S,
AR000875850,20200101,TMAX,285,,,S,
AR000875850,20200101,TMIN,192,,,S,
AR000875850,20200101,TAVG,231,H,,S,
AR000877500,20200101,TMIN,173,,,S,
AR000877500,20200101,TAVG,208,H,,S,
ARM00087016,20200101,TMAX,343,,,S,
ARM00087016,20200101,TMIN,206,,,S,
ARM00087016,20200101,PRCP,71,,,S,
ARM00087016,20200101,TAVG,283,H,,S,
ARM00087022,20200101,TMIN,214,,,S,
ARM00087022,20200101,PRCP,3,,,S,
ARM00087022,20200101,TAVG,293,H,,S,
ARM00087046,20200101,TMAX,326,,,S,
ARM00087046,20200101,TMIN,198,,,S,
ARM00087046,20200101,PRCP,160,,,S,
ARM00087046,20200101,TAVG,252,H,,S,
ARM00087121,20200101,TMAX,352,,,S,
ARM00087121,20200101,TMIN,219,,,S,
ARM00087121,20200101,PRCP,30,,,S,
ARM00087121,20200101,TAVG,281,H,,S,
ARM00087148,20200101,TMAX,329,,,S,
ARM00087148,20200101,TMIN,221,,,S,
ARM00087148,20200101,TAVG,271,H,,S,
ARM00087162,20200101,TMAX,352,,,S,
ARM00087162,20200101,TMIN,240,,,S,
ARM00087162,20200101,PRCP,20,,,S,
ARM00087162,20200101,TAVG,291,H,,S,
ARM00087166,20200101,TMAX,320,,,S,
ARM00087166,20200101,PRCP,0,,,S,
ARM00087166,20200101,TAVG,274,H,,S,
ARM00087178,20200101,TMAX,345,,,S,
ARM00087178,20200101,TMIN,258,,,S,
ARM00087178,20200101,TAVG,293,H,,S,
ARM00087222,20200101,TMIN,246,,,S,
ARM00087222,20200101,TAVG,304,H,,S,
ARM00087244,20200101,TMAX,350,,,S,
ARM00087244,20200101,TMIN,202,,,S,
ARM00087244,20200101,TAVG,262,H,,S,
ARM00087289,20200101,TMAX,335,,,S,
ARM00087289,20200101,TAVG,252,H,,S,
ARM00087311,20200101,TMIN,227,,,S,
ARM00087311,20200101,TAVG,284,H,,S,
ARM00087320,20200101,TMAX,365,,,S,
ARM00087320,20200101,TMIN,239,,,S,
ARM00087320,20200101,PRCP,41,,,S,
ARM00087320,20200101,TAVG,289,H,,S,
ARM00087328,20200101,TMAX,357,,,S,
ARM00087328,20200101,TMIN,191,,,S,
ARM00087328,20200101,TAVG,272,H,,S,
ARM00087349,20200101,TMAX,325,,,S,
ARM00087349,20200101,TMIN,200,,,S,
ARM00087349,20200101,TAVG,237,H,,S,
ARM00087395,20200101,TMAX,298,,,S,
ARM00087395,20200101,TMIN,224,,,S,
ARM00087395,20200101,TAVG,243,H,,S,
ARM00087416,20200101,TMAX,368,,,S,
ARM00087416,20200101,TMIN,230,,,S,
ARM00087416,20200101,TAVG,283,H,,S,
ARM00087420,20200101,TMIN,230,,,S,
ARM00087420,20200101,TAVG,274,H,,S,
ARM00087436,20200101,TMAX,355,,,S,
ARM00087436,20200101,TMIN,226,,,S,
ARM00087436,20200101,TAVG,262,H,,S,
ARM00087448,20200101,TMAX,358,,,S,
ARM00087448,20200101,TMIN,161,,,S,
ARM00087448,20200101,TAVG,226,H,,S,
ARM00087453,20200101,TMAX,334,,,S,
ARM00087453,20200101,TMIN,176,,,S,
ARM00087453,20200101,TAVG,214,H,,S,
ARM00087467,20200101,TMAX,308,,,S,
ARM00087467,20200101,TAVG,234,H,,S,
ARM00087480,20200101,TMAX,303,,,S,
ARM00087480,20200101,TMIN,185,,,S,
ARM00087480,20200101,TAVG,236,H,,S,
ARM00087497,20200101,TMAX,288,,,S,
ARM00087497,20200101,TMIN,200,,,S,
ARM00087497,20200101,PRCP,8,,,S,
ARM00087497,20200101,TAVG,241,H,,S,
ARM00087506,20200101,TMAX,310,,,S,
ARM00087506,20200101,TMIN,170,,,S,
ARM00087506,20200101,TAVG,229,H,,S,
ARM00087509,20200101,TMAX,353,,,S,
ARM00087509,20200101,TMIN,197,,,S,
ARM00087509,20200101,TAVG,263,H,,S,
ARM00087532,20200101,TMAX,310,,,S,
ARM00087532,20200101,TMIN,151,,,S,
ARM00087532,20200101,TAVG,215,H,,S,
